PLAYER_ID,FG_K_1,FG_K_2,FG_K_3,FG_K_4,FG_K_5,FG_K_6,FG_K_7,FG_K_8,FG_K_9,FG_K_10,FG_K_11,FG_K_12
708,0.5,0.413043478,0.642857143,0.666666667,0.333333333,0, , , , , , 
951,0.467741935,0.507692308,0.458333333,0.222222222,0, , , , , , , 
959,0.407407407,0.2,1,0, , , , , , , , 
965,0.357142857,0.323529412,0.625,0.666666667,0, , , , , , , 
977,0.65,0.181818182,0, , , , , , , , , 
979,0.580645161,0.625,0.611111111,0.444444444,0.666666667,1,0, , , , , 
1495,0.574018127,0.614285714,0.5625,0.56,0.272727273,0, , , , , , 
1497,0.142857143,0, , , , , , , , , , 
1536,0.2,0, , , , , , , , , , 
1712,0.476190476,0.428571429,0, , , , , , , , , 
1713,0.411067194,0.341463415,0.260869565,0.2,0, , , , , , , 
1717,0.589098532,0.588785047,0.627659574,0.642857143,0.454545455,0.714285714,0.5,1,0, , , 
1718,0.518672199,0.589473684,0.577777778,0.789473684,0.727272727,0.8,0.333333333,0, , , , 
1733,0.431034483,0.272727273,0.75,0.5,0, , , , , , , 
1737,0.222222222,0.25,0, , , , , , , , , 
1740,0.358024691,0.631578947,0.2,0, , , , , , , , 
1882,0.62601626,0.431034483,0.285714286,0.4,1,0, , , , , , 
1889,0.551282051,0.59375,0.615384615,0.333333333,0, , , , , , , 
1890,0.5703125,0.552631579,0.673913043,0.608695652,0.6,0.5,0, , , , , 
1891,0.594594595,0.352941176,0.2,0, , , , , , , , 
1897,0.357142857,0.142857143,1,0, , , , , , , , 
1905,0.563636364,0.409090909,0, , , , , , , , , 
1938,0.458515284,0.512820513,0.433333333,0.272727273,0.5,0, , , , , , 
2030,0.5,0.5,0.428571429,0.5,0, , , , , , , 
2034,0.540880503,0.515625,0.423076923,0.571428571,0, , , , , , , 
2037,0.455974843,0.481132075,0.285714286,0.3,0.5,0, , , , , , 
2045,0.235294118,0, , , , , , , , , , 
2199,0.662068966,0.704225352,0.714285714,0.588235294,0.222222222,1,0, , , , , 
2200,0.54723127,0.456692913,0.395348837,0.133333333,0, , , , , , , 
2203,0.474358974,0.344827586,0.25,0, , , , , , , , 
2207,0.525222552,0.537313433,0.527272727,0.5,0.777777778,1,0.333333333,0, , , , 
2210,0.482142857,0.4875,0.35483871,0.333333333,0.5,0, , , , , , 
2215,0.2,1,0, , , , , , , , , 
2216,0.532066508,0.536144578,0.455882353,0.384615385,0.625,0.75,1,1,0, , , 
2222,0.4,0.37037037,0.111111111,0, , , , , , , , 
